"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd06","Idxtrd07"
"000001","2017-01-26","3149.217","3163.104","3148.908","3159.166","1138767.72","12501319.39"
"000001","2017-02-03","3160.082","3162.677","3136.013","3140.170","922247.36","10802365.99"
"000001","2017-02-06","3143.093","3158.843","3135.387","3156.984","1271982.83","15006769.47"
"000001","2017-02-07","3154.405","3159.544","3140.036","3153.088","1283374.42","15255908.61"
"000001","2017-02-08","3148.086","3167.447","3132.033","3166.982","1449201.87","17085412.63"
"000001","2017-02-09","3164.688","3186.838","3162.574","3183.179","1916403.27","20972315.86"
"000001","2017-02-10","3183.007","3205.049","3182.802","3196.699","2393489.13","24577216.39"
"000001","2017-02-13","3198.995","3219.407","3198.995","3216.839","2201915.08","23615876.68"
"000001","2017-02-14","3216.137","3219.405","3205.285","3217.928","1887980.88","20425382.19"
"000001","2017-02-15","3215.464","3235.998","3206.561","3212.986","2415077.06","25796524.45"
"000001","2017-02-16","3210.357","3230.275","3207.785","3229.618","2169559.42","22658761.20"
"000001","2017-02-17","3227.707","3238.396","3199.425","3202.076","2262281.77","24857275.16"
"000001","2017-02-20","3198.963","3241.458","3198.963","3239.961","2321520.96","25027613.18"
"000001","2017-02-21","3242.223","3254.336","3239.878","3253.326","2116730.66","23355117.61"
"000001","2017-02-22","3252.690","3261.381","3243.840","3261.218","2074537.76","23481532.58"
"000001","2017-02-23","3258.832","3264.082","3236.355","3251.375","2091798.00","23682258.23"
"000001","2017-02-24","3246.860","3253.956","3233.535","3253.433","1864063.62","21383903.69"
"000001","2017-02-27","3249.195","3251.654","3224.088","3228.660","1825810.71","21139571.59"
"000001","2017-02-28","3225.969","3242.679","3225.969","3241.733","1512443.18","18601928.88"
"000001","2017-03-01","3240.073","3259.978","3237.871","3246.934","1906775.50","22594096.79"
"000001","2017-03-02","3250.518","3256.807","3228.665","3230.028","1812150.76","22304395.88"
"000001","2017-03-03","3219.202","3221.155","3206.613","3218.312","1570823.68","19270792.30"
"000001","2017-03-06","3217.335","3234.663","3215.067","3233.866","1560921.58","19376917.24"
"000001","2017-03-07","3233.094","3242.659","3226.822","3242.406","1640642.35","20993120.84"
"000001","2017-03-08","3240.532","3245.304","3230.608","3240.665","1607313.88","19822578.26"
"000001","2017-03-09","3233.701","3233.875","3205.279","3216.746","1673711.08","19921764.68"
"000001","2017-03-10","3213.729","3222.319","3208.447","3212.760","1366727.43","17366317.02"
"000001","2017-03-13","3209.449","3237.121","3193.157","3237.024","1636737.60","20691974.19"
"000001","2017-03-14","3235.252","3246.329","3231.521","3239.328","1469460.22","19153512.67"
"000001","2017-03-15","3235.403","3243.713","3227.738","3241.760","1440556.82","18572725.04"
"000001","2017-03-16","3247.163","3269.770","3247.163","3268.935","1894160.02","24450834.45"
"000001","2017-03-17","3271.867","3274.190","3232.281","3237.447","2005832.23","26218404.65"
"000001","2017-03-20","3241.110","3251.127","3228.118","3250.808","1705484.30","21395175.95"
"000001","2017-03-21","3250.247","3262.221","3246.696","3261.611","1627193.06","21912126.98"
"000001","2017-03-22","3246.223","3255.778","3229.128","3245.220","1897316.49","24454545.90"
"000001","2017-03-23","3245.808","3262.091","3221.934","3248.550","1930291.44","25824669.10"
"000001","2017-03-24","3247.350","3275.207","3241.123","3269.445","2197779.14","26709416.43"
"000001","2017-03-27","3268.924","3283.239","3262.118","3266.955","2018526.75","24918554.03"
"000001","2017-03-28","3265.634","3265.634","3246.086","3252.948","1617100.13","20345248.18"
"000001","2017-03-29","3252.865","3262.098","3233.280","3241.314","2161055.75","24537185.26"
"000001","2017-03-30","3235.137","3240.017","3195.852","3210.237","2471354.79","26569487.16"
"000001","2017-03-31","3206.253","3226.248","3205.537","3222.514","1964429.22","21403616.00"
"000001","2017-04-05","3235.660","3270.645","3233.237","3270.305","2483202.02","27320115.57"
"000001","2017-04-06","3272.193","3286.674","3265.765","3281.005","2452879.99","26233558.76"
"000001","2017-04-07","3280.624","3295.187","3275.051","3286.616","2361089.42","26673832.29"
"000001","2017-04-10","3285.459","3285.459","3265.012","3269.393","2326946.16","27941519.54"
"000001","2017-04-11","3266.222","3290.389","3244.405","3288.966","2812812.48","32662240.69"
"000001","2017-04-12","3283.837","3284.934","3262.277","3273.830","2693817.90","31150552.38"
"000001","2017-04-13","3265.218","3281.137","3261.490","3275.960","2073468.75","22328721.47"
"000001","2017-04-14","3276.138","3276.711","3238.896","3246.067","2145085.58","22410667.95"
"000001","2017-04-17","3229.949","3229.949","3199.912","3222.167","2127371.89","22721468.14"
"000001","2017-04-18","3215.396","3225.055","3196.488","3196.713","1886613.53","21186676.77"
"000001","2017-04-19","3184.666","3189.437","3147.066","3170.687","2132380.75","22580605.65"
"000001","2017-04-20","3165.665","3178.183","3148.184","3172.100","1908739.85","22009823.27"
"000001","2017-04-21","3170.290","3180.794","3158.629","3173.151","1647617.40","18413144.07"
"000001","2017-04-24","3164.248","3164.248","3111.215","3129.531","1862774.34","19784525.36"
"000001","2017-04-25","3123.894","3145.267","3117.449","3134.567","1534183.07","17412924.96"
"000001","2017-04-26","3132.918","3152.953","3131.418","3140.847","1698781.07","19711287.30"
"000001","2017-04-27","3131.350","3155.003","3097.333","3152.187","2117930.73","23574831.94"
"000001","2017-04-28","3144.022","3154.727","3136.578","3154.658","1628898.99","18319576.98"
"000001","2017-05-02","3147.228","3154.781","3136.539","3143.712","1542229.62","17638991.67"
"000001","2017-05-03","3138.307","3148.286","3123.751","3135.346","1637639.24","19023660.07"
"000001","2017-05-04","3127.106","3143.818","3111.391","3127.369","1779674.85","20017085.16"
"000001","2017-05-05","3114.774","3117.614","3092.092","3103.038","1762136.41","20027390.82"
"000001","2017-05-08","3090.065","3093.452","3067.694","3078.613","1805269.04","19817168.94"
"000001","2017-05-09","3064.848","3084.208","3056.558","3080.527","1350666.74","15279590.16"
"000001","2017-05-10","3078.173","3090.819","3051.590","3052.785","1607944.52","18162415.17"
"000001","2017-05-11","3036.789","3063.564","3016.531","3061.500","1913419.01","19760407.01"
"000001","2017-05-12","3054.112","3090.491","3051.871","3083.513","1596840.99","17510724.58"
"000001","2017-05-15","3085.932","3098.913","3085.932","3090.229","1356607.28","15826960.77"
"000001","2017-05-16","3082.872","3113.512","3060.534","3112.964","1737755.64","19329210.46"
"000001","2017-05-17","3107.802","3119.582","3101.295","3104.442","1686741.58","19456059.41"
"000001","2017-05-18","3082.329","3103.441","3077.963","3090.139","1486200.35","16814951.41"
"000001","2017-05-19","3086.705","3095.483","3081.278","3090.631","1296352.30","15016422.62"
"000001","2017-05-22","3087.171","3103.938","3063.153","3075.676","1536837.30","17034098.27"
"000001","2017-05-23","3069.394","3084.235","3050.842","3061.947","1783105.99","19507365.37"
"000001","2017-05-24","3047.568","3064.813","3022.303","3064.076","1398133.53","15266920.16"
"000001","2017-05-25","3055.343","3114.658","3052.831","3107.831","1913918.41","20191012.50"
"000001","2017-05-26","3101.286","3120.663","3100.388","3110.059","1559234.86","17132738.46"
"000001","2017-05-31","3125.325","3143.279","3111.556","3117.178","1529504.30","17791330.99"
"000001","2017-06-01","3108.421","3113.521","3097.679","3102.623","1630157.19","18078262.48"
"000001","2017-06-02","3094.225","3110.389","3081.849","3105.540","1425049.25","15445434.80"
"000001","2017-06-05","3102.110","3105.506","3084.830","3091.656","1325703.00","14342980.20"
"000001","2017-06-06","3084.540","3102.863","3078.787","3102.126","1134399.63","12780462.42"
"000001","2017-06-07","3101.761","3140.774","3098.951","3140.325","1732290.14","19428794.55"
"000001","2017-06-08","3136.471","3153.264","3132.828","3150.334","1522776.59","17889429.85"
"000001","2017-06-09","3147.453","3165.920","3146.108","3158.400","1601363.34","18158488.48"
"000001","2017-06-12","3149.527","3164.950","3135.314","3139.877","1467294.25","17022327.69"
"000001","2017-06-13","3134.009","3155.990","3131.043","3153.743","1283182.79","14845787.00"
"000001","2017-06-14","3146.748","3149.173","3125.355","3130.674","1383470.42","16064122.96"
"000001","2017-06-15","3125.587","3137.585","3117.084","3132.486","1469542.45","17112452.94"
"000001","2017-06-16","3126.373","3134.251","3117.857","3123.166","1296527.58","14921547.76"
"000001","2017-06-19","3122.158","3146.770","3121.779","3144.374","1348917.58","15174179.79"
"000001","2017-06-20","3148.019","3150.465","3134.611","3140.014","1411918.02","16249801.46"
"000001","2017-06-21","3148.986","3157.028","3132.617","3156.212","1366882.68","16704821.60"
"000001","2017-06-22","3152.242","3186.982","3146.643","3147.453","1913440.06","22043843.95"
"000001","2017-06-23","3138.444","3158.047","3118.095","3157.873","1548436.48","17556852.42"
"000001","2017-06-26","3157.002","3187.889","3156.977","3185.444","1735792.11","20041930.22"
"000001","2017-06-27","3183.420","3193.461","3172.463","3191.197","1482011.98","16752380.03"
"000001","2017-06-28","3183.633","3193.440","3170.786","3173.201","1465167.20","16208109.97"
"000001","2017-06-29","3174.981","3188.774","3174.284","3188.063","1287554.70","14724979.81"
"000001","2017-06-30","3176.948","3193.241","3171.570","3192.427","1214645.43","14319560.35"
"000001","2017-07-03","3191.998","3196.286","3177.024","3195.912","1403057.17","15657578.44"
"000001","2017-07-04","3192.889","3193.064","3174.314","3182.804","1411149.67","16145456.24"
"000001","2017-07-05","3179.217","3207.310","3174.708","3207.134","1482964.83","17355401.21"
"000001","2017-07-06","3203.863","3215.950","3188.773","3212.444","1758092.87","20220961.70"
"000001","2017-07-07","3203.823","3219.523","3195.291","3217.957","1767154.16","20193831.32"
"000001","2017-07-10","3208.463","3223.340","3203.209","3212.632","1989280.10","22282831.18"
"000001","2017-07-11","3201.517","3226.908","3199.224","3203.038","1878372.62","20549336.63"
"000001","2017-07-12","3201.929","3215.196","3177.935","3197.544","1869008.80","20179962.22"
"000001","2017-07-13","3192.362","3219.268","3190.339","3218.163","1953036.11","21082089.63"
"000001","2017-07-14","3212.032","3222.978","3204.853","3222.417","1601267.73","17431213.82"
"000001","2017-07-17","3219.791","3230.354","3139.504","3176.465","2662052.74","27465325.01"
"000001","2017-07-18","3159.732","3187.671","3150.128","3187.567","1906230.60","19645236.15"
"000001","2017-07-19","3181.402","3232.941","3179.730","3230.976","2724207.26","26977101.96"
"000001","2017-07-20","3227.506","3246.236","3225.433","3244.865","2321083.92","24582542.19"
"000001","2017-07-21","3236.588","3247.712","3231.956","3237.982","2060032.51","22195690.99"
"000001","2017-07-24","3230.898","3261.105","3230.071","3250.599","2330563.99","25063119.43"
"000001","2017-07-25","3249.138","3261.645","3233.138","3243.689","2055738.73","21340549.90"
"000001","2017-07-26","3244.461","3264.848","3228.039","3247.675","2135420.05","22846051.85"
